,2,3,4,5,6,9,10,11,12,13,14,15,16,echo_mean,echo_std,echo_max,echo_cont_mean,echo_cont_median,echo_cont_std,echo_cont_max,shadow_mean,shadow_median,shadow_std,shadow_min,shadow_max,target
131,0,0,0,72,209,60,27,0,13,51,186,76,11,0.0,0.0,0,36.75,35.5,36.94477861168837,76,129.5,129.0,79.54244150137711,51,209,0
132,0,0,0,91,198,32,19,0,2,56,207,42,2,0.0,0.0,0,19.0,17.0,21.197484127446195,42,138.0,144.5,75.92540198554543,56,207,0
133,0,0,5,127,193,51,20,0,0,55,228,57,14,0.75,1.5,3,30.5,32.5,27.83882181415011,57,150.75,160.0,76.34297610127601,55,228,0
134,0,0,0,137,208,34,35,0,14,51,254,75,29,3.5,7.0,14,34.5,31.5,30.881493918958434,75,162.5,172.5,88.55318552523487,51,254,0
135,0,0,0,125,223,26,40,0,34,51,255,73,42,3.5,7.0,14,35.25,34.0,30.543684562715523,73,163.5,174.0,93.18619354103195,51,255,0
136,0,0,0,103,239,29,76,0,46,52,255,61,25,1.75,3.5,7,28.75,27.0,25.03830398942122,61,162.25,171.0,100.26423423467945,52,255,0
137,0,0,5,71,229,22,96,0,45,52,255,47,46,0.0,0.0,0,28.75,34.0,22.381167678802342,47,151.75,150.0,105.03769164764935,52,255,0
138,0,0,15,35,208,52,124,0,24,49,255,17,24,2.25,4.5,9,23.25,20.5,21.65448375433288,52,136.75,128.5,111.22462257372091,35,255,0
139,0,0,12,29,188,68,113,0,6,45,254,18,14,0.0,0.0,0,25.0,16.0,29.687258770949757,68,129.0,116.5,109.79070998950685,29,254,0
140,0,0,0,44,179,28,71,0,6,40,254,55,18,0.75,1.5,3,25.25,23.0,22.96918225216852,55,129.25,111.5,105.3102559108086,40,254,0
141,0,0,0,25,185,1,47,0,11,41,255,47,0,0.0,0.0,0,12.0,0.5,23.338094752285727,47,126.5,113.0,111.87344039881256,25,255,0
142,0,0,0,16,194,2,41,0,28,50,253,14,0,0.0,0.0,0,4.0,1.0,6.733003292241385,14,128.25,122.0,113.4441859829464,16,253,0
143,0,0,0,20,216,5,66,0,49,51,255,0,4,0.0,0.0,0,2.25,2.0,2.629955639676583,5,135.5,133.5,117.24760125478048,20,255,0
144,0,0,0,26,240,8,78,0,53,39,255,9,0,0.0,0.0,0,4.25,4.0,4.924428900898052,9,140.0,139.5,124.39453364195711,26,255,0
145,0,0,0,59,245,5,59,0,46,27,255,41,0,0.0,0.0,0,11.5,2.5,19.807406022327438,41,146.5,152.0,120.29269858696051,27,255,0
146,0,0,63,73,209,19,70,0,32,11,255,11,0,0.0,0.0,0,7.5,5.5,9.255628917943213,19,137.0,141.0,114.13442367080435,11,255,0
147,0,0,18,84,160,17,134,0,17,6,255,2,0,0.0,0.0,0,4.75,1.0,8.220908303425682,17,126.25,122.0,106.39666348152089,6,255,0
148,0,0,32,101,141,24,157,0,0,5,255,7,0,0.0,0.0,0,7.75,3.5,11.324751652906125,24,125.5,121.0,103.49074032653033,5,255,0
149,0,0,10,108,166,23,110,0,5,13,255,0,0,0.0,0.0,0,5.75,0.0,11.5,23,135.5,137.0,101.60872665934424,13,255,0
150,0,0,0,97,219,16,66,0,16,21,255,26,0,0.0,0.0,0,10.5,8.0,12.793227374930325,26,148.0,158.0,108.3512805646523,21,255,0
151,0,0,0,89,239,0,81,0,27,21,247,24,2,0.0,0.0,0,6.5,1.0,11.704699910719626,24,149.0,164.0,112.08330235439472,21,247,0
152,0,0,0,89,224,0,41,0,27,17,233,22,0,0.0,0.0,0,5.5,0.0,11.0,22,140.75,156.5,105.56632985947745,17,233,0
153,0,0,0,85,201,0,46,0,29,22,224,16,2,0.0,0.0,0,4.5,1.0,7.724420150837645,16,133.0,143.0,95.79491983746668,22,224,0
154,0,0,0,87,195,9,43,0,28,30,235,7,0,0.0,0.0,0,4.0,3.5,4.69041575982343,9,136.75,141.0,94.72196155063513,30,235,0
155,0,0,0,95,190,23,56,0,24,38,255,18,27,0.0,0.0,0,17.0,20.5,11.916375287812984,27,144.5,142.5,96.73503329542336,38,255,0
156,0,0,0,96,198,26,53,0,25,43,255,49,11,0.0,0.0,0,21.5,18.5,21.205345238091894,49,148.0,147.0,96.05206921248495,43,255,0
157,0,0,0,108,223,9,56,0,31,48,255,35,4,0.0,0.0,0,12.0,6.5,15.769168230019828,35,158.5,165.5,97.01030873056739,48,255,0
