0,echo1,echo2,echo3,echo4,shadow5,shadow6,echo7,echo8,echo-contact9,echo-contact10,echo-contact11,echo-contact12,shadow13,shadow14,echo-contact15,echo-contact16
714,0,0,35,0,63,255,0,0,104,20,0,0,76,98,0,19
715,0,0,27,0,64,255,0,0,88,38,0,0,78,87,0,19
716,0,0,15,0,73,255,0,0,69,41,0,5,83,78,0,29
717,0,0,9,0,86,255,0,0,61,7,0,5,85,78,0,33
718,0,0,0,0,90,255,0,0,43,2,0,3,88,78,0,28
719,0,0,0,0,72,244,0,0,31,33,0,4,81,86,0,44
720,0,0,0,0,54,202,0,0,43,1,0,8,70,90,0,33
721,0,0,0,0,50,181,0,0,28,13,0,13,63,97,0,27
722,0,0,0,0,70,144,0,0,20,63,25,44,64,98,0,35
723,0,0,0,0,63,129,0,0,18,23,0,27,70,98,2,30
724,0,0,0,0,47,131,0,0,43,23,0,23,83,96,0,43
725,0,0,1,0,41,138,0,0,47,29,12,26,93,95,0,53
726,0,0,1,0,49,140,0,0,48,33,0,5,97,93,0,45
727,0,0,12,0,65,159,0,0,65,27,0,0,101,88,0,22
728,0,0,4,0,126,206,0,0,52,33,0,0,115,83,0,20
729,0,0,34,0,147,255,0,0,103,54,0,10,133,82,0,21
730,0,0,18,0,147,255,0,0,73,19,0,13,150,90,0,18
731,0,0,0,0,119,255,0,0,28,38,0,9,155,98,0,13
732,0,0,0,0,82,255,0,0,37,46,0,30,151,110,7,34
733,0,0,0,0,61,227,0,64,19,51,0,39,134,109,9,71
734,0,0,0,0,54,187,0,16,33,2,0,33,112,104,2,85
735,0,0,0,0,64,145,0,10,22,0,0,20,91,91,0,71
736,1,0,0,0,66,108,0,0,7,5,0,1,71,73,0,53
737,0,0,0,0,61,73,0,0,23,17,0,31,50,55,6,35
738,0,0,0,0,54,59,0,0,39,19,0,38,49,52,0,41
739,0,0,0,0,71,44,0,0,31,20,0,31,71,57,0,32
740,0,0,0,0,112,27,0,0,20,17,0,14,94,63,0,29
741,0,0,9,0,131,22,0,0,60,7,0,0,117,71,0,4
742,0,0,19,0,141,56,0,0,76,5,0,0,124,79,0,6
743,0,0,31,0,139,138,20,0,97,16,0,6,122,78,0,19
744,0,0,15,0,124,180,0,0,70,72,0,29,114,64,0,9
745,0,0,0,3,122,163,0,0,47,90,0,38,105,52,0,1
746,0,0,0,0,150,118,0,0,28,75,0,21,103,33,0,0
747,0,0,0,0,190,78,0,0,43,63,0,0,103,15,0,0
748,0,0,20,0,205,61,0,0,80,34,1,0,111,0,0,0
749,0,0,19,0,174,59,0,0,77,13,0,7,123,0,0,0
750,0,0,2,0,200,85,0,0,49,5,0,5,140,0,0,0
751,0,0,0,0,252,89,0,0,16,24,0,0,167,0,0,0
752,0,0,0,0,241,8,0,0,29,47,0,0,201,2,0,7
753,0,0,0,0,206,0,0,0,30,33,0,0,226,12,63,22
754,0,0,0,0,178,32,0,0,28,16,0,10,232,24,0,35
755,0,0,0,0,112,72,0,0,41,0,0,22,212,44,0,41
756,0,0,9,0,43,62,0,0,60,46,0,26,165,35,0,33
757,0,0,14,0,29,18,0,0,69,0,0,20,127,32,0,25
758,0,0,4,0,32,0,0,0,50,0,0,0,129,29,0,5
759,0,0,13,0,32,0,0,0,71,0,0,0,137,29,0,0
760,0,0,49,0,49,0,0,0,134,0,0,0,139,32,0,1
761,0,0,58,0,72,0,0,0,147,0,0,0,136,39,0,0
762,0,0,54,0,113,0,0,0,142,0,0,0,124,50,0,28
763,0,0,64,0,153,0,0,0,159,0,0,0,107,61,0,7
764,0,0,59,0,143,0,0,0,148,0,0,0,82,58,0,6
765,0,0,40,0,102,0,0,0,111,0,0,0,74,58,4,8
766,0,0,6,0,74,0,0,0,57,0,0,4,78,60,4,1
767,0,0,47,0,63,0,0,0,131,0,0,8,82,70,26,0
768,0,0,83,0,59,9,0,0,191,0,0,7,86,73,0,8
769,0,0,101,0,77,44,0,0,222,4,0,11,77,77,0,25
770,0,0,102,0,74,59,0,0,221,6,0,16,67,82,0,47
771,0,0,79,0,68,64,0,0,180,2,0,21,52,81,0,47
772,0,0,72,0,99,85,0,0,173,16,0,22,44,78,0,20
773,0,0,80,0,82,113,0,0,187,1,0,33,51,78,0,3
774,0,1,66,0,88,149,0,0,156,6,0,57,61,73,0,0
775,0,10,39,0,97,130,0,0,110,8,0,80,74,73,0,0
776,0,22,25,0,107,94,0,0,89,14,12,99,81,70,0,2
777,0,23,13,0,109,82,0,10,68,12,0,103,78,67,0,0
778,0,17,3,0,101,78,0,0,50,33,0,91,75,77,0,0
779,0,7,13,0,90,90,0,0,68,43,0,72,77,72,0,0
780,0,0,21,0,86,121,0,0,81,42,0,58,80,74,0,8
781,0,0,11,0,89,143,0,0,65,28,0,51,86,94,3,21
782,0,0,3,0,88,158,0,0,50,49,0,48,85,95,0,10
783,0,0,0,0,105,185,0,0,35,51,0,54,80,113,33,0
784,0,5,7,0,128,218,0,0,58,28,0,66,78,123,0,0
785,0,6,12,0,121,240,0,0,65,32,0,66,80,104,2,14
786,0,8,16,0,75,223,0,0,74,31,0,69,71,85,11,0
787,0,6,21,0,84,246,0,0,82,33,0,65,47,59,0,0
788,0,3,13,0,113,239,0,0,66,31,0,60,25,50,0,0
789,0,0,1,0,127,225,0,0,47,33,0,50,44,54,24,11
790,0,0,1,0,150,199,0,0,47,34,0,30,66,70,36,2
791,0,0,0,0,118,170,0,0,46,71,0,4,83,97,8,3
